NAMESPACE            NAME                                                              READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
argo                 cray-iuf-metacontroller-helm-0                                    2/2     Running     2 (44m ago)     10d     10.36.0.15    ncn-w001   <none>           <none>
argo                 cray-iuf-metacontroller-helm-1                                    2/2     Running     1 (9d ago)      9d      10.34.0.20    ncn-w002   <none>           <none>
argo                 cray-nls-argo-workflows-server-564cd584d9-2ptnm                   2/2     Running     0               3d21h   10.44.0.45    ncn-w003   <none>           <none>
argo                 cray-nls-argo-workflows-server-564cd584d9-fdg2s                   2/2     Running     1 (8d ago)      8d      10.34.0.39    ncn-w002   <none>           <none>
argo                 cray-nls-argo-workflows-server-564cd584d9-m6ftm                   2/2     Running     0               8d      10.36.0.75    ncn-w001   <none>           <none>
argo                 cray-nls-argo-workflows-workflow-controller-6cdc74f748-8h522      2/2     Running     2 (44m ago)     8d      10.34.0.18    ncn-w002   <none>           <none>
argo                 cray-nls-argo-workflows-workflow-controller-6cdc74f748-hmn5z      2/2     Running     0               3d21h   10.44.0.56    ncn-w003   <none>           <none>
argo                 cray-nls-bfd94746b-m97ln                                          2/2     Running     1 (38m ago)     38m     10.38.0.7     ncn-m002   <none>           <none>
argo                 cray-nls-bfd94746b-tsx62                                          2/2     Running     0               38m     10.40.0.0     ncn-m001   <none>           <none>
argo                 cray-nls-bfd94746b-vnbrn                                          2/2     Running     0               12d     10.43.0.10    ncn-m001   <none>           <none>
argo                 cray-nls-postgres-0                                               3/3     Running     0               10d     10.36.0.17    ncn-w001   <none>           <none>
argo                 cray-nls-postgres-1                                               3/3     Running     0               8d      10.34.0.44    ncn-w002   <none>           <none>
argo                 cray-nls-postgres-2                                               3/3     Running     0               3d20h   10.41.0.129   ncn-w004   <none>           <none>
argo                 logical-backup-cray-nls-postgres-28858990-f6g2g                   0/2     Completed   0               34h     10.46.0.34    ncn-w005   <none>           <none>
argo                 logical-backup-cray-nls-postgres-28860430-flwx8                   0/2     Completed   0               10h     10.46.0.32    ncn-w005   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-nodeplugin-4pcj5                             3/3     Running     3 (3d20h ago)   12d     10.252.1.13   ncn-w004   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-nodeplugin-b5npn                             3/3     Running     12 (43h ago)    8d      10.252.1.14   ncn-w005   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-nodeplugin-dkqsm                             3/3     Running     3 (10d ago)     12d     10.252.1.9    ncn-w001   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-nodeplugin-wgrxz                             3/3     Running     3 (7d23h ago)   12d     10.252.1.7    ncn-w003   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-nodeplugin-x2bz4                             3/3     Running     3 (9d ago)      12d     10.252.1.8    ncn-w002   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-provisioner-788df75f76-g7zhx                 6/6     Running     2 (44m ago)     8d      10.34.0.25    ncn-w002   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-provisioner-788df75f76-n2rp9                 6/6     Running     0               3d21h   10.44.0.76    ncn-w003   <none>           <none>
