Timestamp: 2024-11-15 10:39:08
NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
argo                 pod/cray-iuf-metacontroller-helm-0                                    2/2     Running     2 (83m ago)     10d     10.36.0.15    ncn-w001   <none>           <none>
argo                 pod/cray-iuf-metacontroller-helm-1                                    2/2     Running     1 (5m17s ago)   5m52s   10.34.0.25    ncn-w002   <none>           <none>
argo                 pod/cray-nls-argo-workflows-server-564cd584d9-2ptnm                   2/2     Running     0               3d22h   10.44.0.45    ncn-w003   <none>           <none>
argo                 pod/cray-nls-argo-workflows-server-564cd584d9-7shh4                   2/2     Running     1 (26m ago)     26m     10.41.0.76    ncn-w004   <none>           <none>
argo                 pod/cray-nls-argo-workflows-server-564cd584d9-m6ftm                   2/2     Running     0               8d      10.36.0.75    ncn-w001   <none>           <none>
argo                 pod/cray-nls-argo-workflows-workflow-controller-6cdc74f748-hmn5z      2/2     Running     0               3d22h   10.44.0.56    ncn-w003   <none>           <none>
argo                 pod/cray-nls-argo-workflows-workflow-controller-6cdc74f748-lvv6w      2/2     Running     2 (26m ago)     26m     10.46.0.32    ncn-w005   <none>           <none>
argo                 pod/cray-nls-bfd94746b-84nxs                                          2/2     Running     0               26m     10.32.0.8     ncn-m003   <none>           <none>
argo                 pod/cray-nls-bfd94746b-tsx62                                          2/2     Running     0               77m     10.40.0.0     ncn-m001   <none>           <none>
argo                 pod/cray-nls-bfd94746b-vnbrn                                          2/2     Running     0               12d     10.43.0.10    ncn-m001   <none>           <none>
argo                 pod/cray-nls-postgres-0                                               3/3     Running     0               10d     10.36.0.17    ncn-w001   <none>           <none>
argo                 pod/cray-nls-postgres-1                                               3/3     Running     0               6m36s   10.34.0.18    ncn-w002   <none>           <none>
argo                 pod/cray-nls-postgres-2                                               3/3     Running     0               3d21h   10.41.0.129   ncn-w004   <none>           <none>
argo                 pod/logical-backup-cray-nls-postgres-28858990-f6g2g                   0/2     Completed   0               35h     10.46.0.34    ncn-w005   <none>           <none>
argo                 pod/logical-backup-cray-nls-postgres-28860430-flwx8                   0/2     Completed   0               11h     10.46.0.32    ncn-w005   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-4pcj5                             3/3     Running     3 (3d21h ago)   12d     10.252.1.13   ncn-w004   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-b5npn                             3/3     Running     12 (44h ago)    8d      10.252.1.14   ncn-w005   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-dkqsm                             3/3     Running     3 (10d ago)     12d     10.252.1.9    ncn-w001   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-wgrxz                             3/3     Running     3 (8d ago)      12d     10.252.1.7    ncn-w003   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-x2bz4                             3/3     Running     6 (8m31s ago)   12d     10.252.1.8    ncn-w002   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-provisioner-788df75f76-6r6kd                 6/6     Running     0               26m     10.46.0.34    ncn-w005   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-provisioner-788df75f76-n2rp9                 6/6     Running     1 (32m ago)     3d22h   10.44.0.76    ncn-w003   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-provisioner-788df75f76-wsg8h                 6/6     Running     4 (32m ago)     8d      10.36.0.78    ncn-w001   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-4cwjf                                3/3     Running     3 (8d ago)      12d     10.252.1.7    ncn-w003   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-bw4mr                                3/3     Running     3 (10d ago)     12d     10.252.1.9    ncn-w001   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-mktr9                                3/3     Running     12 (44h ago)    8d      10.252.1.14   ncn-w005   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-nzc82                                3/3     Running     3 (3d21h ago)   12d     10.252.1.13   ncn-w004   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-q76tz                                3/3     Running     6 (8m31s ago)   12d     10.252.1.8    ncn-w002   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-provisioner-6974c7d78b-4442m                    7/7     Running     0               26m     10.46.0.39    ncn-w005   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-provisioner-6974c7d78b-66m9l                    7/7     Running     8 (32m ago)     9d      10.36.0.34    ncn-w001   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-provisioner-6974c7d78b-bfllq                    7/7     Running     3 (32m ago)     3d      10.41.0.50    ncn-w004   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-7d8995464d-85pv4                    2/2     Running     0               9d      10.36.0.43    ncn-w001   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-7d8995464d-lgwkm                    2/2     Running     0               3d22h   10.44.0.38    ncn-w003   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-7d8995464d-smpvd                    2/2     Running     0               26m     10.41.0.83    ncn-w004   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-cainjector-6c7845f6dc-f9l8h         2/2     Running     1 (26m ago)     26m     10.46.0.33    ncn-w005   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-cainjector-6c7845f6dc-pfwtc         2/2     Running     2 (9d ago)      9d      10.36.0.57    ncn-w001   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-cainjector-6c7845f6dc-wl5xq         2/2     Running     3 (3d22h ago)   3d22h   10.44.0.29    ncn-w003   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-webhook-57dbbff888-4796m            2/2     Running     1 (25m ago)     26m     10.46.0.47    ncn-w005   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-webhook-57dbbff888-8kds5            2/2     Running     2 (9d ago)      9d      10.36.0.41    ncn-w001   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-webhook-57dbbff888-dlpfq            2/2     Running     1 (3d ago)      3d      10.41.0.72    ncn-w004   <none>           <none>
dvs                  pod/cray-activemq-artemis-operator-controller-manager-958999f8224qp   2/2     Running     1 (33m ago)     3d22h   10.44.0.48    ncn-w003   <none>           <none>
dvs                  pod/cray-dvs-mqtt-ss-0                                                2/2     Running     0               9d      10.36.0.26    ncn-w001   <none>           <none>
dvs                  pod/cray-dvs-mqtt-ss-1                                                1/2     Running     0               3d20h   10.41.0.43    ncn-w004   <none>           <none>
hnc-system           pod/hnc-controller-manager-56c97b978d-hlq8k                           2/2     Running     0               3d22h   10.44.0.59    ncn-w003   <none>           <none>
ims                  pod/cray-ims-0ca4b119-c28f-4864-aa64-983e7534992b-customize-l58dl     0/2     Completed   0               16h     10.46.0.32    ncn-w005   <none>           <none>
ims                  pod/cray-ims-0fbd4b2b-07a9-42c2-9c99-862501181867-customize-zg7fj     0/2     Completed   0               15h     10.46.0.11    ncn-w005   <none>           <none>
ims                  pod/cray-ims-19219974-a545-4903-9b31-135ceaa87a57-customize-jrgth     0/2     Completed   0               18h     10.41.0.76    ncn-w004   <none>           <none>
ims                  pod/cray-ims-3a1984a5-274a-4862-8b6f-74c3bb880800-customize-ctvqt     0/2     Completed   0               42h     10.46.0.16    ncn-w005   <none>           <none>
ims                  pod/cray-ims-4c77ef81-f4b9-45d7-a04c-17723823b20c-customize-b9t4z     0/2     Completed   0               17h     10.46.0.16    ncn-w005   <none>           <none>
ims                  pod/cray-ims-61965b4a-5035-4153-94d9-1f9311a1cf9f-customize-25pbm     0/2     Completed   0               36h     10.46.0.15    ncn-w005   <none>           <none>
ims                  pod/cray-ims-66bfdfad-4b28-4f9d-be23-9fb177ef940c-customize-l4565     0/2     Completed   0               38h     10.46.0.11    ncn-w005   <none>           <none>
ims                  pod/cray-ims-70423139-018d-4869-a91b-0fc3d9220c21-customize-jpjf7     0/2     Completed   0               37h     10.46.0.14    ncn-w005   <none>           <none>
ims                  pod/cray-ims-729e8575-ac4d-4e53-94a5-252137ef80ef-customize-v86l5     0/2     Completed   0               14h     10.46.0.32    ncn-w005   <none>           <none>
ims                  pod/cray-ims-88ad4a18-ef77-43df-a7af-ee184fa67dfe-customize-lq98n     0/2     Completed   0               11h     10.46.0.16    ncn-w005   <none>           <none>
ims                  pod/cray-ims-935752c4-4a40-48d0-b1e0-06e048e51eab-customize-vwmtx     0/2     Completed   0               18h     10.46.0.29    ncn-w005   <none>           <none>
ims                  pod/cray-ims-d321ce0a-04db-4fd9-b27b-f9c25f4c8c8a-customize-9k4bp     0/2     Completed   0               12h     10.46.0.15    ncn-w005   <none>           <none>
ims                  pod/cray-ims-d5a02adc-d80e-4292-ad76-d7b3cc84c7b6-customize-m9rw8     0/2     Completed   0               39h     10.46.0.14    ncn-w005   <none>           <none>
ims                  pod/cray-ims-dcde60ad-3267-4ec4-975e-103e51a3b518-customize-fnfhr     0/2     Completed   0               13h     10.46.0.11    ncn-w005   <none>           <none>
istio-operator       pod/istio-operator-5695f4cd46-xp2mn                                   1/1     Running     2 (32m ago)     3d22h   10.44.0.53    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-9xqzs                              1/1     Running     0               3d22h   10.44.0.41    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-x765h                              1/1     Running     0               26m     10.41.0.82    ncn-w004   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-x8cz6                              1/1     Running     0               9d      10.36.0.56    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-b6qh9                1/1     Running     0               9d      10.36.0.37    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-dn4vk                1/1     Running     0               26m     10.46.0.38    ncn-w005   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-lfp5g                1/1     Running     0               3d22h   10.44.0.62    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-2bpwc               1/1     Running     0               26m     10.41.0.88    ncn-w004   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-6ft45               1/1     Running     0               9d      10.36.0.51    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-k4jht               1/1     Running     0               3d22h   10.44.0.68    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-44wf8                         1/1     Running     0               3d22h   10.44.0.36    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-54zzz                         1/1     Running     0               9d      10.36.0.59    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-lhg9k                         1/1     Running     0               26m     10.41.0.90    ncn-w004   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-6qtwb                                           1/1     Running     0               4m50s   10.41.0.97    ncn-w004   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-mkvdp                                           1/1     Running     0               5m5s    10.34.0.30    ncn-w002   <none>           <none>
