Timestamp: 2024-11-15 10:12:07
argo                 pod/cray-nls-bfd94746b-m97ln                                          2/2     Running            1 (50m ago)      50m     10.38.0.7     ncn-m002   <none>           <none>
kube-system          pod/coredns-59cc8dbcc8-stch9                                          1/1     Running            0                8d      10.38.0.6     ncn-m002   <none>           <none>
kube-system          pod/cray-k8s-encryption-sfk2x                                         1/1     Running            1 (8d ago)       12d     10.38.0.3     ncn-m002   <none>           <none>
kube-system          pod/kube-apiserver-ncn-m002                                           1/1     Running            1 (8d ago)       12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-controller-manager-ncn-m002                                  1/1     Running            1 (8d ago)       12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-multus-ds-nz4sg                                              1/1     Running            1 (8d ago)       12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-proxy-4nnxp                                                  1/1     Running            1 (8d ago)       12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-scheduler-ncn-m002                                           1/1     Running            1 (8d ago)       12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/node-problem-detector-jhtwl                                       1/1     Running            1 (8d ago)       12d     10.38.0.2     ncn-m002   <none>           <none>
kube-system          pod/weave-net-fcqnz                                                   2/2     Running            3 (8d ago)       12d     10.252.1.11   ncn-m002   <none>           <none>
metallb-system       pod/metallb-speaker-fq8mh                                             1/1     Running            1 (8d ago)       12d     10.252.1.11   ncn-m002   <none>           <none>
spire                pod/request-ncn-join-token-29q8q                                      2/2     Running            2 (8d ago)       12d     10.38.0.4     ncn-m002   <none>           <none>
sysmgmt-health       pod/cray-sysmgmt-health-grok-exporter-544fb59f84-xncnp                1/1     Running            0                8d      10.38.0.5     ncn-m002   <none>           <none>
sysmgmt-health       pod/cray-sysmgmt-health-node-exporter-smartmon-5x9tm                  1/1     Running            1 (8d ago)       12d     10.38.0.1     ncn-m002   <none>           <none>
sysmgmt-health       pod/cray-sysmgmt-health-prometheus-node-exporter-74hxf                1/1     Running            1 (8d ago)       12d     10.252.1.11   ncn-m002   <none>           <none>
