Timestamp: 2024-11-05 06:37:13
NAMESPACE            NAME                                                                  READY   STATUS        RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
argo                 pod/cray-iuf-metacontroller-helm-0                                    2/2     Terminating   3 (2d8h ago)    2d13h   10.36.0.22    ncn-w001   <none>           <none>
argo                 pod/cray-iuf-metacontroller-helm-1                                    2/2     Running       1 (2d13h ago)   2d13h   10.35.0.21    ncn-w002   <none>           <none>
argo                 pod/cray-nls-argo-workflows-server-564cd584d9-2lbjn                   2/2     Terminating   0               2d13h   10.36.0.13    ncn-w001   <none>           <none>
argo                 pod/cray-nls-argo-workflows-server-564cd584d9-58fcg                   2/2     Running       0               50m     10.46.0.32    ncn-w005   <none>           <none>
argo                 pod/cray-nls-argo-workflows-server-564cd584d9-jfpnf                   2/2     Running       0               2d12h   10.44.0.12    ncn-w003   <none>           <none>
argo                 pod/cray-nls-argo-workflows-server-564cd584d9-njk6t                   2/2     Running       0               2d12h   10.41.0.12    ncn-w004   <none>           <none>
argo                 pod/cray-nls-argo-workflows-workflow-controller-6cdc74f748-8rttr      2/2     Terminating   2 (2d9h ago)    2d13h   10.36.0.16    ncn-w001   <none>           <none>
argo                 pod/cray-nls-argo-workflows-workflow-controller-6cdc74f748-qcw9c      2/2     Running       1 (2d8h ago)    2d12h   10.41.0.14    ncn-w004   <none>           <none>
argo                 pod/cray-nls-argo-workflows-workflow-controller-6cdc74f748-w5drx      2/2     Running       0               50m     10.46.0.30    ncn-w005   <none>           <none>
argo                 pod/cray-nls-bfd94746b-9ptvp                                          2/2     Running       1 (2d8h ago)    2d8h    10.38.0.6     ncn-m002   <none>           <none>
argo                 pod/cray-nls-bfd94746b-thj7v                                          2/2     Running       0               2d8h    10.38.0.7     ncn-m002   <none>           <none>
argo                 pod/cray-nls-bfd94746b-vnbrn                                          2/2     Running       0               2d9h    10.43.0.10    ncn-m001   <none>           <none>
argo                 pod/cray-nls-postgres-0                                               3/3     Terminating   0               2d13h   10.36.0.55    ncn-w001   <none>           <none>
argo                 pod/cray-nls-postgres-1                                               3/3     Running       0               2d8h    10.46.0.17    ncn-w005   <none>           <none>
argo                 pod/cray-nls-postgres-2                                               3/3     Running       0               2d8h    10.41.0.75    ncn-w004   <none>           <none>
argo                 pod/logical-backup-cray-nls-postgres-28843150-z9g9m                   0/2     Completed     0               2d7h    10.46.0.31    ncn-w005   <none>           <none>
argo                 pod/logical-backup-cray-nls-postgres-28844590-rrbrc                   0/2     Completed     0               31h     10.46.0.28    ncn-w005   <none>           <none>
argo                 pod/logical-backup-cray-nls-postgres-28846030-l7bsq                   0/2     Completed     0               7h27m   10.46.0.31    ncn-w005   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-4pcj5                             3/3     Running       0               2d12h   10.252.1.13   ncn-w004   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-dkqsm                             3/3     Running       0               2d13h   10.252.1.9    ncn-w001   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-p2d4b                             3/3     Running       0               2d11h   10.252.1.14   ncn-w005   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-wgrxz                             3/3     Running       0               2d12h   10.252.1.7    ncn-w003   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-x2bz4                             3/3     Running       0               2d13h   10.252.1.8    ncn-w002   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-provisioner-788df75f76-2ltmm                 6/6     Running       1 (2d8h ago)    2d12h   10.41.0.57    ncn-w004   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-provisioner-788df75f76-gtx2l                 6/6     Running       0               50m     10.46.0.40    ncn-w005   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-provisioner-788df75f76-xzjpr                 6/6     Terminating   5 (2d8h ago)    2d13h   10.36.0.38    ncn-w001   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-provisioner-788df75f76-zhs7q                 6/6     Running       1 (2d8h ago)    2d12h   10.44.0.21    ncn-w003   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-4cwjf                                3/3     Running       0               2d12h   10.252.1.7    ncn-w003   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-bw4mr                                3/3     Running       0               2d13h   10.252.1.9    ncn-w001   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-gdj4k                                3/3     Running       0               2d11h   10.252.1.14   ncn-w005   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-nzc82                                3/3     Running       0               2d12h   10.252.1.13   ncn-w004   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-q76tz                                3/3     Running       0               2d13h   10.252.1.8    ncn-w002   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-provisioner-6974c7d78b-4h8dk                    7/7     Running       2 (2d8h ago)    2d13h   10.35.0.40    ncn-w002   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-provisioner-6974c7d78b-q8xlq                    7/7     Running       8 (2d8h ago)    2d12h   10.44.0.50    ncn-w003   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-provisioner-6974c7d78b-sdxcd                    7/7     Running       0               2d12h   10.41.0.56    ncn-w004   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-7d8995464d-h2p79                    2/2     Running       0               50m     10.41.0.81    ncn-w004   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-7d8995464d-rxhvk                    2/2     Running       0               2d12h   10.44.0.22    ncn-w003   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-7d8995464d-wczlm                    2/2     Terminating   0               2d13h   10.36.0.35    ncn-w001   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-7d8995464d-zzppt                    2/2     Running       0               2d13h   10.35.0.35    ncn-w002   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-cainjector-6c7845f6dc-52vft         2/2     Terminating   0               2d13h   10.36.0.43    ncn-w001   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-cainjector-6c7845f6dc-dhltq         2/2     Running       0               50m     10.46.0.33    ncn-w005   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-cainjector-6c7845f6dc-kvpl2         2/2     Running       0               2d12h   10.44.0.23    ncn-w003   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-cainjector-6c7845f6dc-pfnbt         2/2     Running       1 (2d8h ago)    2d13h   10.35.0.52    ncn-w002   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-webhook-57dbbff888-5qcl7            2/2     Running       0               50m     10.46.0.27    ncn-w005   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-webhook-57dbbff888-7qf6d            2/2     Terminating   1 (2d13h ago)   2d13h   10.36.0.15    ncn-w001   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-webhook-57dbbff888-scgs5            2/2     Running       0               2d13h   10.35.0.39    ncn-w002   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-webhook-57dbbff888-zx55x            2/2     Running       3 (2d12h ago)   2d12h   10.44.0.47    ncn-w003   <none>           <none>
dvs                  pod/cray-activemq-artemis-operator-controller-manager-958999f8j4x62   2/2     Running       0               50m     10.41.0.80    ncn-w004   <none>           <none>
dvs                  pod/cray-activemq-artemis-operator-controller-manager-958999f8m68qs   2/2     Terminating   2 (2d8h ago)    2d13h   10.36.0.41    ncn-w001   <none>           <none>
dvs                  pod/cray-dvs-mqtt-ss-0                                                2/2     Terminating   0               2d13h   10.36.0.51    ncn-w001   <none>           <none>
dvs                  pod/cray-dvs-mqtt-ss-1                                                2/2     Running       0               2d12h   10.41.0.35    ncn-w004   <none>           <none>
hnc-system           pod/hnc-controller-manager-56c97b978d-f6z2z                           2/2     Running       0               2d12h   10.35.0.71    ncn-w002   <none>           <none>
istio-operator       pod/istio-operator-5695f4cd46-9jzfb                                   1/1     Running       5               2d13h   10.35.0.33    ncn-w002   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-5m4lq                              1/1     Running       0               2d13h   10.35.0.15    ncn-w002   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-g77b6                              1/1     Running       0               2d12h   10.41.0.19    ncn-w004   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-kcmdd                              1/1     Running       0               2d12h   10.44.0.29    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-5fksl                1/1     Running       0               2d12h   10.44.0.15    ncn-w003   <none>           <none>
