NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE
argo                 pod/cray-iuf-metacontroller-helm-0                                    2/2     Running     3 (2d6h ago)    2d11h
argo                 pod/cray-iuf-metacontroller-helm-1                                    2/2     Running     1 (2d10h ago)   2d10h
argo                 pod/cray-nls-argo-workflows-server-564cd584d9-2lbjn                   2/2     Running     0               2d11h
argo                 pod/cray-nls-argo-workflows-server-564cd584d9-jfpnf                   2/2     Running     0               2d10h
argo                 pod/cray-nls-argo-workflows-server-564cd584d9-njk6t                   2/2     Running     0               2d9h
argo                 pod/cray-nls-argo-workflows-workflow-controller-6cdc74f748-8rttr      2/2     Running     2 (2d6h ago)    2d11h
argo                 pod/cray-nls-argo-workflows-workflow-controller-6cdc74f748-qcw9c      2/2     Running     1 (2d6h ago)    2d9h
argo                 pod/cray-nls-bfd94746b-9ptvp                                          2/2     Running     1 (2d6h ago)    2d6h
argo                 pod/cray-nls-bfd94746b-thj7v                                          2/2     Running     0               2d6h
argo                 pod/cray-nls-bfd94746b-vnbrn                                          2/2     Running     0               2d6h
argo                 pod/cray-nls-postgres-0                                               3/3     Running     0               2d10h
argo                 pod/cray-nls-postgres-1                                               3/3     Running     0               2d6h
argo                 pod/cray-nls-postgres-2                                               3/3     Running     0               2d6h
argo                 pod/logical-backup-cray-nls-postgres-28843150-z9g9m                   0/2     Completed   0               2d5h
argo                 pod/logical-backup-cray-nls-postgres-28844590-rrbrc                   0/2     Completed   0               29h
argo                 pod/logical-backup-cray-nls-postgres-28846030-l7bsq                   0/2     Completed   0               5h17m
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-4pcj5                             3/3     Running     0               2d10h
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-dkqsm                             3/3     Running     0               2d11h
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-p2d4b                             3/3     Running     0               2d8h
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-wgrxz                             3/3     Running     0               2d10h
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-x2bz4                             3/3     Running     0               2d11h
ceph-cephfs          pod/cray-ceph-csi-cephfs-provisioner-788df75f76-2ltmm                 6/6     Running     1 (2d6h ago)    2d9h
ceph-cephfs          pod/cray-ceph-csi-cephfs-provisioner-788df75f76-xzjpr                 6/6     Running     5 (2d6h ago)    2d11h
ceph-cephfs          pod/cray-ceph-csi-cephfs-provisioner-788df75f76-zhs7q                 6/6     Running     1 (2d6h ago)    2d10h
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-4cwjf                                3/3     Running     0               2d10h
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-bw4mr                                3/3     Running     0               2d11h
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-gdj4k                                3/3     Running     0               2d8h
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-nzc82                                3/3     Running     0               2d10h
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-q76tz                                3/3     Running     0               2d11h
