NAMESPACE            NAME                                                              AGE
argo                 cray-nls-argo-workflows-server-564cd584d9-58fcg                   2024-11-05T05:46:44Z
argo                 cray-nls-argo-workflows-workflow-controller-6cdc74f748-w5drx      2024-11-05T05:46:43Z
ceph-cephfs          cray-ceph-csi-cephfs-provisioner-788df75f76-gtx2l                 2024-11-05T05:46:44Z
cert-manager         cray-certmanager-cert-manager-7d8995464d-h2p79                    2024-11-05T05:46:45Z
cert-manager         cray-certmanager-cert-manager-cainjector-6c7845f6dc-dhltq         2024-11-05T05:46:44Z
cert-manager         cray-certmanager-cert-manager-webhook-57dbbff888-5qcl7            2024-11-05T05:46:43Z
dvs                  cray-activemq-artemis-operator-controller-manager-958999f8j4x62   2024-11-05T05:46:46Z
istio-system         istio-ingressgateway-customer-admin-ffc69c5f-d9chv                2024-11-05T05:46:42Z
kube-system          kube-etcdbackup-28846480-xzxcs                                    2024-11-05T06:40:00Z
kyverno              kyverno-admission-controller-5fb8868644-hqr7r                     2024-11-05T05:46:43Z
kyverno              kyverno-cleanup-admission-reports-28846480-jhrpm                  2024-11-05T06:40:00Z
kyverno              kyverno-cleanup-cluster-admission-reports-28846480-drv2c          2024-11-05T06:40:00Z
kyverno              kyverno-cleanup-controller-5569cb8948-bnpht                       2024-11-05T05:46:44Z
nexus                nexus-84f59cbb6-pssnc                                             2024-11-05T05:46:44Z
pki-operator         trustedcerts-operator-f546977cb-7sv6b                             2024-11-05T05:46:45Z
services             cray-bss-79785c6d89-q66xz                                         2024-11-05T05:46:45Z
services             cray-bss-bitnami-etcd-snapshotter-28846440-vpz88                  2024-11-05T06:00:00Z
services             cray-cfs-api-db-ff7f66d5d-fq5qw                                   2024-11-05T05:46:43Z
services             cray-dhcp-kea-helper-28846476-9cf8x                               2024-11-05T06:36:00Z
services             cray-dhcp-kea-helper-28846479-k8jj2                               2024-11-05T06:39:00Z
services             cray-dhcp-kea-helper-28846482-pbnpp                               2024-11-05T06:42:00Z
services             cray-dns-unbound-79b56d4645-5zpr6                                 2024-11-05T05:46:45Z
services             cray-dns-unbound-manager-28846480-hm2kx                           2024-11-05T06:40:00Z
services             cray-dns-unbound-manager-28846482-bwrbr                           2024-11-05T06:42:00Z
services             cray-dns-unbound-manager-28846484-9nqr9                           2024-11-05T06:44:00Z
services             cray-fas-77bb4c6b79-ptjdn                                         2024-11-05T05:46:47Z
services             cray-fas-bitnami-etcd-snapshotter-28846440-sclxk                  2024-11-05T06:00:00Z
services             cray-hbtd-bitnami-etcd-snapshotter-28846440-tgdc4                 2024-11-05T06:00:01Z
services             cray-hmnfd-747b78f958-k6hjk                                       2024-11-05T05:46:46Z
services             cray-hmnfd-bitnami-etcd-snapshotter-28846440-4jzxc                2024-11-05T06:00:00Z
services             cray-ipxe-aarch64-6d97578788-rgspz                                2024-11-05T05:46:43Z
services             cray-ipxe-x86-64-59d949584d-wd4cv                                 2024-11-05T05:46:45Z
services             cray-power-control-6f9869d68-9dtgp                                2024-11-05T05:46:44Z
services             cray-power-control-bitnami-etcd-snapshotter-28846440-nkhfx        2024-11-05T06:00:00Z
services             cray-scsd-b744ccc54-d4z56                                         2024-11-05T05:46:45Z
services             cray-smd-79dc846fcb-mh7ng                                         2024-11-05T05:46:45Z
services             cray-smd-79dc846fcb-wsq2n                                         2024-11-05T05:46:45Z
services             cray-sts-6b8bb75c68-vdc79                                         2024-11-05T05:46:44Z
services             etcd-backup-pvc-snapshots-to-s3-28846445-bmbbq                    2024-11-05T06:05:00Z
services             hms-discovery-28846455-sw6zl                                      2024-11-05T06:15:00Z
services             hms-discovery-28846458-489db                                      2024-11-05T06:18:00Z
services             hms-discovery-28846461-tzkrj                                      2024-11-05T06:21:00Z
services             hms-discovery-28846464-nc24h                                      2024-11-05T06:24:00Z
services             hms-discovery-28846467-pkz6v                                      2024-11-05T06:27:00Z
services             hms-discovery-28846470-br778                                      2024-11-05T06:30:00Z
services             hms-discovery-28846473-rcv69                                      2024-11-05T06:33:00Z
services             hms-discovery-28846476-njtn7                                      2024-11-05T06:36:00Z
services             hms-discovery-28846479-dxxqz                                      2024-11-05T06:39:00Z
services             hms-discovery-28846482-62tnw                                      2024-11-05T06:42:00Z
services             nmdv2-service-86466bc7f8-vcfsn                                    2024-11-05T05:46:45Z
services             sonar-sync-28846482-xg67w                                         2024-11-05T06:42:00Z
services             sonar-sync-28846483-fzv8h                                         2024-11-05T06:43:00Z
services             sonar-sync-28846484-8bqns                                         2024-11-05T06:44:00Z
services             sshot-fm-recover-28846455-gd7tb                                   2024-11-05T06:15:00Z
services             sshot-fm-recover-28846458-c6sd8                                   2024-11-05T06:18:00Z
services             sshot-fm-recover-28846461-tw74f                                   2024-11-05T06:21:00Z
services             sshot-fm-recover-28846464-6j6hq                                   2024-11-05T06:24:00Z
services             sshot-fm-recover-28846467-b5r7d                                   2024-11-05T06:27:00Z
services             sshot-fm-recover-28846470-jtghl                                   2024-11-05T06:30:00Z
services             sshot-fm-recover-28846473-s8rzq                                   2024-11-05T06:33:00Z
services             sshot-fm-recover-28846476-f5xtr                                   2024-11-05T06:36:00Z
services             sshot-fm-recover-28846479-ndjvv                                   2024-11-05T06:39:00Z
services             sshot-fm-recover-28846482-tlgbk                                   2024-11-05T06:42:00Z
spire                cray-spire-jwks-847fc745b8-7hfbr                                  2024-11-05T05:46:46Z
spire                cray-spire-postgres-pooler-5997f6f6f5-svsl6                       2024-11-05T05:46:46Z
sysmgmt-health       cray-sysmgmt-health-redfish-cron-28846440-m282b                   2024-11-05T06:00:00Z
