Timestamp: 2024-11-06 06:31:20
argo                 pod/cray-iuf-metacontroller-helm-1                                    2/2     Running            1 (90s ago)     2m2s    10.34.0.20    ncn-w002   <none>           <none>
ceph-cephfs          pod/cray-ceph-csi-cephfs-nodeplugin-x2bz4                             3/3     Running            3 (4m29s ago)   3d13h   10.252.1.8    ncn-w002   <none>           <none>
ceph-rbd             pod/cray-ceph-csi-rbd-nodeplugin-q76tz                                3/3     Running            3 (4m29s ago)   3d13h   10.252.1.8    ncn-w002   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-l2tp6                                           1/1     Running            0               41s     10.34.0.25    ncn-w002   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-pxxvm                                           1/1     Running            0               41s     10.34.0.24    ncn-w002   <none>           <none>
kube-system          pod/kube-etcdbackup-28847910-r67d8                                    0/1     Completed          0               80s     10.34.0.24    ncn-w002   <none>           <none>
kube-system          pod/kube-multus-ds-m4889                                              1/1     Running            1 (4m29s ago)   3d13h   10.252.1.8    ncn-w002   <none>           <none>
kube-system          pod/kube-proxy-gxncj                                                  1/1     Running            1 (4m29s ago)   3d13h   10.252.1.8    ncn-w002   <none>           <none>
kube-system          pod/node-problem-detector-gc29x                                       1/1     Running            1 (4m29s ago)   3d13h   10.34.0.6     ncn-w002   <none>           <none>
kube-system          pod/weave-net-sbv7r                                                   2/2     Running            3 (3m35s ago)   3d13h   10.252.1.8    ncn-w002   <none>           <none>
kyverno              pod/kyverno-cleanup-admission-reports-28847910-jrrgc                  0/1     Completed          0               80s     10.34.0.23    ncn-w002   <none>           <none>
kyverno              pod/kyverno-cleanup-cluster-admission-reports-28847910-986dc          0/1     Completed          0               80s     10.34.0.18    ncn-w002   <none>           <none>
metallb-system       pod/metallb-speaker-c2vx4                                             1/1     Running            2 (3m33s ago)   3d13h   10.252.1.8    ncn-w002   <none>           <none>
nexus                pod/cray-precache-images-8hdmn                                        1/1     Running            1 (4m29s ago)   3d13h   10.34.0.9     ncn-w002   <none>           <none>
