NAMESPACE            NAME                                                              READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
argo                 cray-iuf-metacontroller-helm-0                                    2/2     Running     1 (5d3h ago)    7d2h    10.36.0.15    ncn-w001   <none>           <none>
argo                 cray-iuf-metacontroller-helm-1                                    2/2     Running     1 (6d2h ago)    6d2h    10.34.0.20    ncn-w002   <none>           <none>
argo                 cray-nls-argo-workflows-server-564cd584d9-2ptnm                   2/2     Running     0               20h     10.44.0.45    ncn-w003   <none>           <none>
argo                 cray-nls-argo-workflows-server-564cd584d9-fdg2s                   2/2     Running     1 (5d20h ago)   5d20h   10.34.0.39    ncn-w002   <none>           <none>
argo                 cray-nls-argo-workflows-server-564cd584d9-m6ftm                   2/2     Running     0               4d23h   10.36.0.75    ncn-w001   <none>           <none>
argo                 cray-nls-argo-workflows-workflow-controller-6cdc74f748-8h522      2/2     Running     0               5d20h   10.34.0.18    ncn-w002   <none>           <none>
argo                 cray-nls-argo-workflows-workflow-controller-6cdc74f748-hmn5z      2/2     Running     0               20h     10.44.0.56    ncn-w003   <none>           <none>
argo                 cray-nls-bfd94746b-l2tts                                          2/2     Running     0               5d3h    10.32.0.8     ncn-m003   <none>           <none>
argo                 cray-nls-bfd94746b-vnbrn                                          2/2     Running     0               9d      10.43.0.10    ncn-m001   <none>           <none>
argo                 cray-nls-bfd94746b-ztgdb                                          2/2     Running     1 (5d3h ago)    5d3h    10.32.0.7     ncn-m003   <none>           <none>
argo                 cray-nls-postgres-0                                               3/3     Running     0               7d1h    10.36.0.17    ncn-w001   <none>           <none>
argo                 cray-nls-postgres-1                                               3/3     Running     0               5d20h   10.34.0.44    ncn-w002   <none>           <none>
argo                 cray-nls-postgres-2                                               3/3     Running     0               19h     10.41.0.129   ncn-w004   <none>           <none>
argo                 logical-backup-cray-nls-postgres-28853230-v7gj4                   0/2     Completed   0               2d9h    10.44.0.25    ncn-w003   <none>           <none>
argo                 logical-backup-cray-nls-postgres-28854670-gc6rb                   0/2     Completed   0               33h     10.44.0.27    ncn-w003   <none>           <none>
argo                 logical-backup-cray-nls-postgres-28856110-s7qnt                   0/2     Completed   0               9h      10.41.0.46    ncn-w004   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-nodeplugin-4pcj5                             3/3     Running     3 (19h ago)     9d      10.252.1.13   ncn-w004   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-nodeplugin-b5npn                             3/3     Running     3 (4d22h ago)   5d20h   10.252.1.14   ncn-w005   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-nodeplugin-dkqsm                             3/3     Running     3 (7d2h ago)    9d      10.252.1.9    ncn-w001   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-nodeplugin-wgrxz                             3/3     Running     3 (4d22h ago)   9d      10.252.1.7    ncn-w003   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-nodeplugin-x2bz4                             3/3     Running     3 (6d2h ago)    9d      10.252.1.8    ncn-w002   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-provisioner-788df75f76-g7zhx                 6/6     Running     0               5d20h   10.34.0.25    ncn-w002   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-provisioner-788df75f76-n2rp9                 6/6     Running     0               20h     10.44.0.76    ncn-w003   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-provisioner-788df75f76-wsg8h                 6/6     Running     0               4d23h   10.36.0.78    ncn-w001   <none>           <none>
ceph-rbd             cray-ceph-csi-rbd-nodeplugin-4cwjf                                3/3     Running     3 (4d22h ago)   9d      10.252.1.7    ncn-w003   <none>           <none>
ceph-rbd             cray-ceph-csi-rbd-nodeplugin-bw4mr                                3/3     Running     3 (7d2h ago)    9d      10.252.1.9    ncn-w001   <none>           <none>
ceph-rbd             cray-ceph-csi-rbd-nodeplugin-mktr9                                3/3     Running     3 (4d22h ago)   5d20h   10.252.1.14   ncn-w005   <none>           <none>
ceph-rbd             cray-ceph-csi-rbd-nodeplugin-nzc82                                3/3     Running     3 (19h ago)     9d      10.252.1.13   ncn-w004   <none>           <none>
ceph-rbd             cray-ceph-csi-rbd-nodeplugin-q76tz                                3/3     Running     3 (6d2h ago)    9d      10.252.1.8    ncn-w002   <none>           <none>
ceph-rbd             cray-ceph-csi-rbd-provisioner-6974c7d78b-66m9l                    7/7     Running     0               6d3h    10.36.0.34    ncn-w001   <none>           <none>
ceph-rbd             cray-ceph-csi-rbd-provisioner-6974c7d78b-drfgh                    7/7     Running     0               4d23h   10.34.0.64    ncn-w002   <none>           <none>
ceph-rbd             cray-ceph-csi-rbd-provisioner-6974c7d78b-k26kf                    7/7     Running     0               20h     10.46.0.41    ncn-w005   <none>           <none>
cert-manager         cray-certmanager-cert-manager-7d8995464d-85pv4                    2/2     Running     0               6d3h    10.36.0.43    ncn-w001   <none>           <none>
cert-manager         cray-certmanager-cert-manager-7d8995464d-lgwkm                    2/2     Running     0               20h     10.44.0.38    ncn-w003   <none>           <none>
cert-manager         cray-certmanager-cert-manager-7d8995464d-xv5vw                    2/2     Running     0               4d23h   10.34.0.63    ncn-w002   <none>           <none>
cert-manager         cray-certmanager-cert-manager-cainjector-6c7845f6dc-n4xdd         2/2     Running     2 (5d20h ago)   5d20h   10.34.0.40    ncn-w002   <none>           <none>
cert-manager         cray-certmanager-cert-manager-cainjector-6c7845f6dc-pfwtc         2/2     Running     2 (6d3h ago)    6d3h    10.36.0.57    ncn-w001   <none>           <none>
cert-manager         cray-certmanager-cert-manager-cainjector-6c7845f6dc-wl5xq         2/2     Running     3 (20h ago)     20h     10.44.0.29    ncn-w003   <none>           <none>
cert-manager         cray-certmanager-cert-manager-webhook-57dbbff888-8kds5            2/2     Running     2 (6d3h ago)    6d3h    10.36.0.41    ncn-w001   <none>           <none>
cert-manager         cray-certmanager-cert-manager-webhook-57dbbff888-sf9zw            2/2     Running     1               20h     10.46.0.47    ncn-w005   <none>           <none>
cert-manager         cray-certmanager-cert-manager-webhook-57dbbff888-tgsjt            2/2     Running     1 (5d20h ago)   5d20h   10.34.0.28    ncn-w002   <none>           <none>
dvs                  cray-activemq-artemis-operator-controller-manager-958999f8224qp   2/2     Running     0               20h     10.44.0.48    ncn-w003   <none>           <none>
dvs                  cray-dvs-mqtt-ss-0                                                2/2     Running     0               6d22h   10.36.0.26    ncn-w001   <none>           <none>
dvs                  cray-dvs-mqtt-ss-1                                                1/2     Running     0               19h     10.41.0.43    ncn-w004   <none>           <none>
hnc-system           hnc-controller-manager-56c97b978d-hlq8k                           2/2     Running     0               20h     10.44.0.59    ncn-w003   <none>           <none>
istio-operator       istio-operator-5695f4cd46-xp2mn                                   1/1     Running     0               20h     10.44.0.53    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-94df8f964-9xqzs                              1/1     Running     0               20h     10.44.0.41    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-94df8f964-rbfpp                              1/1     Running     0               4d23h   10.34.0.51    ncn-w002   <none>           <none>
istio-system         istio-ingressgateway-94df8f964-x8cz6                              1/1     Running     0               6d3h    10.36.0.56    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-customer-admin-ffc69c5f-b6qh9                1/1     Running     0               6d3h    10.36.0.37    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-customer-admin-ffc69c5f-flhqq                1/1     Running     0               5d20h   10.34.0.35    ncn-w002   <none>           <none>
istio-system         istio-ingressgateway-customer-admin-ffc69c5f-lfp5g                1/1     Running     0               20h     10.44.0.62    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-customer-user-77fbcc86d7-6ft45               1/1     Running     0               6d3h    10.36.0.51    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-customer-user-77fbcc86d7-897r5               1/1     Running     0               4d23h   10.34.0.50    ncn-w002   <none>           <none>
istio-system         istio-ingressgateway-customer-user-77fbcc86d7-k4jht               1/1     Running     0               20h     10.44.0.68    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-hmn-785b96ddb8-44wf8                         1/1     Running     0               20h     10.44.0.36    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-hmn-785b96ddb8-54zzz                         1/1     Running     0               6d3h    10.36.0.59    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-hmn-785b96ddb8-8zflc                         1/1     Running     0               4d23h   10.34.0.58    ncn-w002   <none>           <none>
istio-system         istiod-6bb7bc7fb9-4bp8c                                           1/1     Running     0               5d20h   10.34.0.34    ncn-w002   <none>           <none>
istio-system         istiod-6bb7bc7fb9-tjw5v                                           1/1     Running     0               4d23h   10.36.0.74    ncn-w001   <none>           <none>
istio-system         istiod-6bb7bc7fb9-vvcxf                                           1/1     Running     0               20h     10.44.0.47    ncn-w003   <none>           <none>
istio-system         kiali-7cf8968ff4-6r2kz                                            1/1     Running     0               20h     10.44.0.44    ncn-w003   <none>           <none>
kube-system          coredns-59cc8dbcc8-stch9                                          1/1     Running     0               4d23h   10.38.0.6     ncn-m002   <none>           <none>
kube-system          coredns-59cc8dbcc8-w7v45                                          1/1     Running     0               9d      10.43.0.9     ncn-m001   <none>           <none>
kube-system          cray-k8s-encryption-49d6x                                         1/1     Running     0               17d     10.43.0.4     ncn-m001   <none>           <none>
kube-system          cray-k8s-encryption-6r875                                         1/1     Running     1 (5d14h ago)   9d      10.32.0.5     ncn-m003   <none>           <none>
kube-system          cray-k8s-encryption-sfk2x                                         1/1     Running     1 (5d3h ago)    9d      10.38.0.3     ncn-m002   <none>           <none>
kube-system          kube-apiserver-ncn-m001                                           1/1     Running     0               17d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-apiserver-ncn-m002                                           1/1     Running     1 (5d3h ago)    9d      10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-apiserver-ncn-m003                                           1/1     Running     1 (5d14h ago)   9d      10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-controller-manager-ncn-m001                                  1/1     Running     2 (5d3h ago)    17d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-controller-manager-ncn-m002                                  1/1     Running     1 (5d3h ago)    9d      10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-controller-manager-ncn-m003                                  1/1     Running     1 (5d14h ago)   9d      10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-etcdbackup-28856690-h962k                                    0/1     Completed   0               9m12s   10.41.0.25    ncn-w004   <none>           <none>
kube-system          kube-multus-ds-4rd57                                              1/1     Running     1 (19h ago)     9d      10.252.1.13   ncn-w004   <none>           <none>
kube-system          kube-multus-ds-cc8kk                                              1/1     Running     0               17d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-multus-ds-cfplv                                              1/1     Running     1 (4d22h ago)   5d20h   10.252.1.14   ncn-w005   <none>           <none>
kube-system          kube-multus-ds-cjnw7                                              1/1     Running     1 (5d14h ago)   9d      10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-multus-ds-gkhzv                                              1/1     Running     1 (7d2h ago)    9d      10.252.1.9    ncn-w001   <none>           <none>
kube-system          kube-multus-ds-jtkkw                                              1/1     Running     1 (4d22h ago)   9d      10.252.1.7    ncn-w003   <none>           <none>
kube-system          kube-multus-ds-m4889                                              1/1     Running     1 (6d2h ago)    9d      10.252.1.8    ncn-w002   <none>           <none>
kube-system          kube-multus-ds-nz4sg                                              1/1     Running     1 (5d3h ago)    9d      10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-proxy-4nnxp                                                  1/1     Running     1 (5d3h ago)    9d      10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-proxy-5wzp2                                                  1/1     Running     1 (7d2h ago)    9d      10.252.1.9    ncn-w001   <none>           <none>
kube-system          kube-proxy-bhhnm                                                  1/1     Running     1 (19h ago)     9d      10.252.1.13   ncn-w004   <none>           <none>
kube-system          kube-proxy-cb496                                                  1/1     Running     1 (4d22h ago)   9d      10.252.1.7    ncn-w003   <none>           <none>
kube-system          kube-proxy-gxncj                                                  1/1     Running     1 (6d2h ago)    9d      10.252.1.8    ncn-w002   <none>           <none>
kube-system          kube-proxy-lfht9                                                  1/1     Running     0               17d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-proxy-nt289                                                  1/1     Running     1 (4d22h ago)   5d20h   10.252.1.14   ncn-w005   <none>           <none>
kube-system          kube-proxy-rllms                                                  1/1     Running     1 (5d14h ago)   9d      10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-scheduler-ncn-m001                                           1/1     Running     2 (5d3h ago)    17d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-scheduler-ncn-m002                                           1/1     Running     1 (5d3h ago)    9d      10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-scheduler-ncn-m003                                           1/1     Running     1 (5d14h ago)   9d      10.252.1.10   ncn-m003   <none>           <none>
kube-system          metrics-server-545fcf988f-mmgv4                                   1/1     Running     0               20h     10.44.0.64    ncn-w003   <none>           <none>
kube-system          node-problem-detector-4pwct                                       1/1     Running     0               17d     10.43.0.2     ncn-m001   <none>           <none>
kube-system          node-problem-detector-6rd8h                                       1/1     Running     1 (7d2h ago)    9d      10.36.0.11    ncn-w001   <none>           <none>
kube-system          node-problem-detector-8kzps                                       1/1     Running     1 (5d14h ago)   9d      10.32.0.6     ncn-m003   <none>           <none>
kube-system          node-problem-detector-gc29x                                       1/1     Running     1 (6d2h ago)    9d      10.34.0.6     ncn-w002   <none>           <none>
kube-system          node-problem-detector-jhtwl                                       1/1     Running     1 (5d3h ago)    9d      10.38.0.2     ncn-m002   <none>           <none>
kube-system          node-problem-detector-kntvd                                       1/1     Running     1 (4d22h ago)   9d      10.44.0.4     ncn-w003   <none>           <none>
kube-system          node-problem-detector-rr54n                                       1/1     Running     1 (19h ago)     9d      10.41.0.2     ncn-w004   <none>           <none>
kube-system          node-problem-detector-xmjz7                                       1/1     Running     1 (4d22h ago)   5d20h   10.46.0.2     ncn-w005   <none>           <none>
kube-system          sealed-secrets-685b8dc459-sv8d2                                   1/1     Running     0               20h     10.44.0.61    ncn-w003   <none>           <none>
kube-system          weave-net-7pbx9                                                   2/2     Running     3 (4d22h ago)   9d      10.252.1.7    ncn-w003   <none>           <none>
kube-system          weave-net-dgsml                                                   2/2     Running     5 (4d22h ago)   9d      10.252.1.14   ncn-w005   <none>           <none>
kube-system          weave-net-f27f9                                                   2/2     Running     2 (19h ago)     9d      10.252.1.13   ncn-w004   <none>           <none>
kube-system          weave-net-fcqnz                                                   2/2     Running     3 (5d3h ago)    9d      10.252.1.11   ncn-m002   <none>           <none>
kube-system          weave-net-ksz95                                                   2/2     Running     1 (17d ago)     17d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          weave-net-sbv7r                                                   2/2     Running     3 (6d2h ago)    9d      10.252.1.8    ncn-w002   <none>           <none>
kube-system          weave-net-spkgb                                                   2/2     Running     3 (5d14h ago)   9d      10.252.1.10   ncn-m003   <none>           <none>
kube-system          weave-net-zntch                                                   2/2     Running     3 (7d2h ago)    9d      10.252.1.9    ncn-w001   <none>           <none>
kyverno              kyverno-admission-controller-5fb8868644-7gjhd                     1/1     Running     0               20h     10.44.0.35    ncn-w003   <none>           <none>
kyverno              kyverno-admission-controller-5fb8868644-8hjmp                     1/1     Running     0               4d23h   10.36.0.76    ncn-w001   <none>           <none>
kyverno              kyverno-admission-controller-5fb8868644-9plms                     1/1     Running     0               5d20h   10.34.0.27    ncn-w002   <none>           <none>
kyverno              kyverno-background-controller-5bb9c4566d-dj56f                    1/1     Running     0               20h     10.44.0.15    ncn-w003   <none>           <none>
kyverno              kyverno-cleanup-admission-reports-28856690-npdtg                  0/1     Completed   0               9m12s   10.41.0.24    ncn-w004   <none>           <none>
kyverno              kyverno-cleanup-cluster-admission-reports-28856690-6d464          0/1     Completed   0               9m12s   10.41.0.40    ncn-w004   <none>           <none>
kyverno              kyverno-cleanup-controller-5569cb8948-xfbc9                       1/1     Running     1 (5d3h ago)    5d20h   10.34.0.24    ncn-w002   <none>           <none>
kyverno              kyverno-reports-controller-599f875b5b-mn96j                       1/1     Running     0               20h     10.44.0.65    ncn-w003   <none>           <none>
metallb-system       metallb-controller-564f6966f-qtvq7                                1/1     Running     0               20h     10.46.0.42    ncn-w005   <none>           <none>
metallb-system       metallb-speaker-6w8t4                                             1/1     Running     1 (4d22h ago)   5d20h   10.252.1.14   ncn-w005   <none>           <none>
metallb-system       metallb-speaker-95n2g                                             1/1     Running     1 (4d22h ago)   9d      10.252.1.7    ncn-w003   <none>           <none>
metallb-system       metallb-speaker-c2vx4                                             1/1     Running     2 (6d2h ago)    9d      10.252.1.8    ncn-w002   <none>           <none>
metallb-system       metallb-speaker-cdcdv                                             1/1     Running     2 (19h ago)     9d      10.252.1.13   ncn-w004   <none>           <none>
metallb-system       metallb-speaker-fq8mh                                             1/1     Running     1 (5d3h ago)    9d      10.252.1.11   ncn-m002   <none>           <none>
metallb-system       metallb-speaker-mlqr4                                             1/1     Running     1 (5d14h ago)   9d      10.252.1.10   ncn-m003   <none>           <none>
metallb-system       metallb-speaker-nk44l                                             1/1     Running     0               17d     10.252.1.12   ncn-m001   <none>           <none>
metallb-system       metallb-speaker-z6gcb                                             1/1     Running     1 (7d2h ago)    9d      10.252.1.9    ncn-w001   <none>           <none>
nexus                cray-precache-images-8hdmn                                        1/1     Running     1 (6d2h ago)    9d      10.34.0.9     ncn-w002   <none>           <none>
nexus                cray-precache-images-9xddc                                        1/1     Running     1 (7d2h ago)    9d      10.36.0.5     ncn-w001   <none>           <none>
nexus                cray-precache-images-gqndd                                        1/1     Running     1 (4d22h ago)   9d      10.44.0.1     ncn-w003   <none>           <none>
nexus                cray-precache-images-jxv9h                                        1/1     Running     1 (19h ago)     9d      10.41.0.1     ncn-w004   <none>           <none>
nexus                cray-precache-images-xtzjk                                        1/1     Running     1 (4d22h ago)   5d20h   10.46.0.12    ncn-w005   <none>           <none>
nexus                nexus-84f59cbb6-shwx4                                             2/2     Running     0               20h     10.46.0.40    ncn-w005   <none>           <none>
opa                  cray-opa-ingressgateway-8pw9f                                     1/1     Running     1 (19h ago)     9d      10.41.0.5     ncn-w004   <none>           <none>
opa                  cray-opa-ingressgateway-9qs2m                                     1/1     Running     1 (4d22h ago)   9d      10.44.0.7     ncn-w003   <none>           <none>
opa                  cray-opa-ingressgateway-customer-admin-bmrht                      1/1     Running     1 (7d2h ago)    9d      10.36.0.3     ncn-w001   <none>           <none>
opa                  cray-opa-ingressgateway-customer-admin-ggrcp                      1/1     Running     1 (6d2h ago)    9d      10.34.0.5     ncn-w002   <none>           <none>
opa                  cray-opa-ingressgateway-customer-admin-j475x                      1/1     Running     1 (4d22h ago)   5d20h   10.46.0.1     ncn-w005   <none>           <none>
opa                  cray-opa-ingressgateway-customer-admin-jcp2r                      1/1     Running     1 (19h ago)     9d      10.41.0.6     ncn-w004   <none>           <none>
opa                  cray-opa-ingressgateway-customer-admin-p6psv                      1/1     Running     1 (4d22h ago)   9d      10.44.0.8     ncn-w003   <none>           <none>
opa                  cray-opa-ingressgateway-customer-user-768w7                       1/1     Running     1 (6d2h ago)    9d      10.34.0.1     ncn-w002   <none>           <none>
opa                  cray-opa-ingressgateway-customer-user-9b4vb                       1/1     Running     1 (4d22h ago)   9d      10.44.0.5     ncn-w003   <none>           <none>
opa                  cray-opa-ingressgateway-customer-user-glbm7                       1/1     Running     1 (7d2h ago)    9d      10.36.0.6     ncn-w001   <none>           <none>
opa                  cray-opa-ingressgateway-customer-user-lt5zd                       1/1     Running     1 (4d22h ago)   5d20h   10.46.0.11    ncn-w005   <none>           <none>
opa                  cray-opa-ingressgateway-customer-user-rs9m5                       1/1     Running     1 (19h ago)     9d      10.41.0.11    ncn-w004   <none>           <none>
opa                  cray-opa-ingressgateway-g9wjv                                     1/1     Running     1 (6d2h ago)    9d      10.34.0.2     ncn-w002   <none>           <none>
opa                  cray-opa-ingressgateway-hhr4p                                     1/1     Running     0               78m     10.46.0.8     ncn-w005   <none>           <none>
opa                  cray-opa-ingressgateway-hmn-2mwmk                                 1/1     Running     1 (4d22h ago)   9d      10.44.0.11    ncn-w003   <none>           <none>
opa                  cray-opa-ingressgateway-hmn-gd987                                 1/1     Running     1 (4d22h ago)   5d20h   10.46.0.4     ncn-w005   <none>           <none>
opa                  cray-opa-ingressgateway-hmn-gj65t                                 1/1     Running     1 (7d2h ago)    9d      10.36.0.2     ncn-w001   <none>           <none>
opa                  cray-opa-ingressgateway-hmn-gpzjz                                 1/1     Running     1 (19h ago)     9d      10.41.0.4     ncn-w004   <none>           <none>
opa                  cray-opa-ingressgateway-hmn-trx9n                                 1/1     Running     1 (6d2h ago)    9d      10.34.0.8     ncn-w002   <none>           <none>
opa                  cray-opa-ingressgateway-sv4zc                                     1/1     Running     1 (7d2h ago)    9d      10.36.0.10    ncn-w001   <none>           <none>
operators            cray-kiali-kiali-operator-66645594fc-vc9w9                        1/1     Running     0               20h     10.44.0.17    ncn-w003   <none>           <none>
operators            strimzi-cluster-operator-569c45b5d-dgsvv                          1/1     Running     0               20h     10.46.0.31    ncn-w005   <none>           <none>
pki-operator         trustedcerts-operator-f546977cb-2wzb2                             2/2     Running     3 (20h ago)     20h     10.44.0.50    ncn-w003   <none>           <none>
pki-operator         trustedcerts-operator-f546977cb-nlv7d                             2/2     Running     1 (6d3h ago)    6d3h    10.36.0.68    ncn-w001   <none>           <none>
pki-operator         trustedcerts-operator-f546977cb-pghxd                             2/2     Running     1 (4d23h ago)   4d23h   10.34.0.53    ncn-w002   <none>           <none>
services             cfs-0e4b1e69-0739-4bb0-9250-2c1342925a1c-xtr5d                    0/3     Completed   0               6d2h    10.36.0.74    ncn-w001   <none>           <none>
services             cfs-6a6c9d73-a523-4cde-94b7-f3b8f5a3dae4-xlxgj                    0/3     Completed   0               4d22h   10.46.0.13    ncn-w005   <none>           <none>
services             cfs-89cb8547-b95c-4bd5-89f8-c0f0929c5077-bzwg2                    0/3     Completed   0               19h     10.44.0.18    ncn-w003   <none>           <none>
services             cfs-9996c04d-89fd-4c58-9c89-8f4875ed140a-9twtc                    0/3     Completed   0               5d21h   10.34.0.25    ncn-w002   <none>           <none>
services             cfs-ara-7f56fdf8b4-k5snh                                          2/2     Running     1 (6d3h ago)    6d3h    10.36.0.47    ncn-w001   <none>           <none>
services             cfs-ara-postgres-0                                                3/3     Running     0               19h     10.41.0.27    ncn-w004   <none>           <none>
services             cfs-ara-postgres-1                                                3/3     Running     0               4d22h   10.46.0.15    ncn-w005   <none>           <none>
services             cfs-ara-postgres-2                                                3/3     Running     0               5d20h   10.36.0.73    ncn-w001   <none>           <none>
services             cfs-cbd882e6-6263-4893-8dc3-a6d026cc39f9-8vg8r                    0/3     Completed   0               4d22h   10.46.0.19    ncn-w005   <none>           <none>
services             cfs-hwsync-agent-b4b6657d5-q6rk7                                  2/2     Running     0               20h     10.46.0.38    ncn-w005   <none>           <none>
services             cfs-trust-68fc9fcdb4-8dc6r                                        2/2     Running     1 (20h ago)     20h     10.44.0.37    ncn-w003   <none>           <none>
services             cos-config-service-c9b948f98-js22r                                2/2     Running     0               6d3h    10.36.0.38    ncn-w001   <none>           <none>
services             cray-bos-75bb8ddbf9-6m26g                                         2/2     Running     0               6d3h    10.36.0.70    ncn-w001   <none>           <none>
services             cray-bos-75bb8ddbf9-v64zg                                         2/2     Running     0               20h     10.44.0.80    ncn-w003   <none>           <none>
services             cray-bos-db-788bcbc84c-xmsm6                                      2/2     Running     0               20h     10.44.0.71    ncn-w003   <none>           <none>
services             cray-bos-operator-actual-state-cleanup-576b95fdc6-nklvj           2/2     Running     0               20h     10.46.0.36    ncn-w005   <none>           <none>
services             cray-bos-operator-configuration-7856b8fc78-798mb                  2/2     Running     0               20h     10.44.0.31    ncn-w003   <none>           <none>
services             cray-bos-operator-discovery-59ff8c8554-b8jhc                      2/2     Running     0               20h     10.44.0.73    ncn-w003   <none>           <none>
services             cray-bos-operator-power-off-forceful-7d75d64556-rq8hf             2/2     Running     0               20h     10.44.0.26    ncn-w003   <none>           <none>
services             cray-bos-operator-power-off-graceful-756657cbfb-wv6pq             2/2     Running     0               20h     10.44.0.79    ncn-w003   <none>           <none>
services             cray-bos-operator-power-on-7b8ccc7554-5lzcx                       2/2     Running     0               6d3h    10.36.0.55    ncn-w001   <none>           <none>
services             cray-bos-operator-session-cleanup-6c7448798b-ln96p                2/2     Running     0               6d3h    10.36.0.50    ncn-w001   <none>           <none>
services             cray-bos-operator-session-completion-6576ff58b-9cl49              2/2     Running     0               6d3h    10.36.0.69    ncn-w001   <none>           <none>
services             cray-bos-operator-session-setup-6b9fc44c88-5mq4q                  2/2     Running     0               6d3h    10.36.0.52    ncn-w001   <none>           <none>
services             cray-bos-operator-status-57bc98cb8d-rn7vl                         2/2     Running     0               5d20h   10.34.0.32    ncn-w002   <none>           <none>
services             cray-bss-79785c6d89-4ws95                                         2/2     Running     0               4d23h   10.34.0.55    ncn-w002   <none>           <none>
services             cray-bss-79785c6d89-dvtgl                                         2/2     Running     0               20h     10.44.0.75    ncn-w003   <none>           <none>
services             cray-bss-79785c6d89-twsbv                                         2/2     Running     0               6d3h    10.36.0.46    ncn-w001   <none>           <none>
services             cray-bss-bitnami-etcd-0                                           2/2     Running     0               4d22h   10.44.0.21    ncn-w003   <none>           <none>
services             cray-bss-bitnami-etcd-1                                           2/2     Running     0               6d2h    10.34.0.23    ncn-w002   <none>           <none>
services             cray-bss-bitnami-etcd-2                                           2/2     Running     0               7d2h    10.36.0.20    ncn-w001   <none>           <none>
services             cray-bss-bitnami-etcd-snapshotter-28856640-h7ppz                  0/2     Completed   0               59m     10.41.0.53    ncn-w004   <none>           <none>
services             cray-capmc-6c5d69f685-qcwv8                                       2/2     Running     0               6d3h    10.36.0.45    ncn-w001   <none>           <none>
services             cray-capmc-6c5d69f685-wrtsk                                       2/2     Running     0               20h     10.44.0.43    ncn-w003   <none>           <none>
services             cray-capmc-6c5d69f685-z65fj                                       2/2     Running     0               4d23h   10.34.0.60    ncn-w002   <none>           <none>
services             cray-cfs-api-557fb98d57-s2t4t                                     2/2     Running     1 (5d20h ago)   5d20h   10.34.0.42    ncn-w002   <none>           <none>
