NAMESPACE            NAME                                                              READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
argo                 cray-iuf-metacontroller-helm-0                                    2/2     Running     0               45h     10.36.0.15    ncn-w001   <none>           <none>
argo                 cray-iuf-metacontroller-helm-1                                    2/2     Running     1 (22h ago)     22h     10.34.0.20    ncn-w002   <none>           <none>
argo                 cray-nls-argo-workflows-server-564cd584d9-fdg2s                   2/2     Running     1 (16h ago)     16h     10.34.0.39    ncn-w002   <none>           <none>
argo                 cray-nls-argo-workflows-server-564cd584d9-jfpnf                   2/2     Running     0               4d10h   10.44.0.12    ncn-w003   <none>           <none>
argo                 cray-nls-argo-workflows-server-564cd584d9-njk6t                   2/2     Running     0               4d10h   10.41.0.12    ncn-w004   <none>           <none>
argo                 cray-nls-argo-workflows-workflow-controller-6cdc74f748-8h522      2/2     Running     0               16h     10.34.0.18    ncn-w002   <none>           <none>
argo                 cray-nls-argo-workflows-workflow-controller-6cdc74f748-qcw9c      2/2     Running     1 (4d7h ago)    4d10h   10.41.0.14    ncn-w004   <none>           <none>
argo                 cray-nls-bfd94746b-9ptvp                                          2/2     Running     1 (4d7h ago)    4d7h    10.38.0.6     ncn-m002   <none>           <none>
argo                 cray-nls-bfd94746b-thj7v                                          2/2     Running     0               4d7h    10.38.0.7     ncn-m002   <none>           <none>
argo                 cray-nls-bfd94746b-vnbrn                                          2/2     Running     0               4d7h    10.43.0.10    ncn-m001   <none>           <none>
argo                 cray-nls-postgres-0                                               3/3     Running     0               45h     10.36.0.17    ncn-w001   <none>           <none>
argo                 cray-nls-postgres-1                                               3/3     Running     0               16h     10.34.0.44    ncn-w002   <none>           <none>
argo                 cray-nls-postgres-2                                               3/3     Running     0               4d7h    10.41.0.75    ncn-w004   <none>           <none>
argo                 logical-backup-cray-nls-postgres-28847470-nncph                   0/2     Completed   0               29h     10.36.0.34    ncn-w001   <none>           <none>
argo                 logical-backup-cray-nls-postgres-28848910-cjhlc                   0/2     Completed   0               5h46m   10.46.0.16    ncn-w005   <none>           <none>
ceph-cephfs          cray-ceph-csi-cephfs-nodeplugin-4pcj5                             3/3     Running     0               4d10h   10.252.1.13   ncn-w004   <none>           <none>
